1,13.10.24,Michal Hershkovitz,Opening Keynote,
2,20.10.24,Michal Hershkovitz,How to choose the right DB for your project,
3,27.10.24,Roza Vatkin,intro to hardware with micropyton,
4,3.11.24,Efrat Levitan,Data streaming,
5,10.11.24,Avital Zehavi,Empowering Your API Strategy: REST vs. GraphQL,
6,17.11.24,Lital Hay,AWS Lambda,
7,24.11.24,Dana Amram,gRPC & Protobuf,
8,1.12.24,Mor Malka,Copilot - tips & tricks,
9,8.12.24,Tal Rozentzweig,Development In High Scale,
10,15.12.24,Nicole Storchak,Javascript Runtime Environment,
11,22.12.24,Melanie Shoresh,pentesting test,
